phase,phase_type,train_seed,test_seed,noise_level,テスト精度 (Test Acc),平均レイテンシ (ms/バッチ),p95 レイテンシ (ms/バッチ),推論時 Memory Allocated [MB],推論時 Memory Reserved [MB],学習時間/epoch,訓練時 Memory Allocated [MB],訓練時 Memory Reserved [MB],検証精度 (Val Acc),チェックポイントパス,wandbリンク
test_only,training,-1,42,0.0,0.9303571581840515,61.907859802246094,64.34098052978516,36.39854049682617,48.0,,,,,/work/outputs/2025-09-08/15-13-17-334634/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/nvunu9ub
test_only,training,-1,42,0.1,0.9182758331298828,63.28788375854492,69.10704803466797,36.39853286743164,50.0,,,,,/work/outputs/2025-09-08/15-14-58-822605/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/mr6zjbav
test_only,training,-1,42,0.2,0.9067045450210571,62.56837463378906,64.02700805664062,36.398468017578125,48.0,,,,,/work/outputs/2025-09-08/15-18-02-749535/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/yumyxmd8
test_only,training,-1,42,0.3,0.9125000238418579,62.783935546875,65.28606414794922,36.398460388183594,49.3411750793457,,,,,/work/outputs/2025-09-08/15-22-35-141160/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/704lo6bv
test_only,training,-1,42,0.4,0.9116438627243042,63.180381774902344,70.83262634277344,36.398475646972656,48.0,,,,,/work/outputs/2025-09-08/15-28-32-375456/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/237se649
test_only,training,-1,42,0.5,0.9014772772789001,61.959259033203125,67.45304107666016,36.39845275878906,48.0,,,,,/work/outputs/2025-09-08/15-35-58-524061/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/j0ahw8zt
test_only,training,-1,42,0.6,0.9172815680503845,63.02888870239258,63.78563690185547,36.39846420288086,49.605262756347656,,,,,/work/outputs/2025-09-08/15-44-36-642932/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/euhvw6kg
test_only,training,-1,42,0.7,0.9298290610313416,61.2548713684082,63.03412628173828,36.398460388183594,48.0,,,,,/work/outputs/2025-09-08/15-54-40-623445/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/eo2kjmms
test_only,training,-1,42,0.8,0.9147348403930664,65.0064926147461,67.28437805175781,36.3984489440918,48.0,,,,,/work/outputs/2025-09-08/16-06-14-842975/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/6aoh58l8
test_only,training,-1,42,0.9,0.9169047474861145,62.02387237548828,64.96958923339844,36.39845657348633,48.0,,,,,/work/outputs/2025-09-08/16-19-25-566287/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/x95xz6np
test_only,training,-1,42,1.0,0.9232099056243896,62.67949295043945,66.38910675048828,36.398460388183594,48.0,,,,,/work/outputs/2025-09-08/16-33-46-930932/checkpoints/val/accuracy.ckpt,https://wandb.ai/yuuharuharuya1120-japan/default/runs/hojiv0sb
